Date,Description,Amount
2026-06-01,Yerevan City Supermarket,-12500
2026-06-02,Yandex Go Taxi Yerevan,-1800
2026-06-05,Salary Transfer ACME LLC,500000
2026-06-07,Tavern Yerevan Restaurant,-28000
2026-06-10,SAS Supermarket Komitas,-9400
2026-06-12,GG Taxi Yerevan,-1500
2026-06-15,VEON Armenia Mobile Pay,-4500
2026-06-18,BUYING NEW MACBOOK PRO UTILITY,-950000
2026-06-20,Carrefour Mall Supermarket,-14200
2026-06-22,Coffee House Cascade,-3200
2026-06-25,Wildberries Online Order,-18500
2026-06-28,CPS Petrol Station Yerevan,-20000
2026-07-01,Yerevan City Supermarket,-15300
2026-07-03,Yandex Go Taxi,-2200
2026-07-05,Salary Transfer ACME LLC,500000
2026-07-08,Dargett Craft Beer Restaurant,-19000
2026-07-12,Zangak Bookstore,-8500
2026-07-15,JAZZVE Coffee Yerevan,-2800
