date,description,amount,type
2025-01-05,YANDEX TAXI YEREVAN POS CARD,2500,debit
2025-01-07,SAS SUPERMARKET YEREVAN,18500,debit
2025-01-10,SALARY DEPOSIT EMPLOYER LLC,450000,credit
2025-01-12,UCOM INTERNET PAYMENT,8500,debit
2025-01-15,CITY SUPERMARKET PURCHASE,12300,debit
2025-01-18,RESTAURANT TERRACE CAFE,9800,debit
2025-01-20,GG TAXI RIDE,1800,debit
2025-01-22,ATM CASH WITHDRAWAL,50000,debit
2025-01-25,NETFLIX SUBSCRIPTION,3900,debit
2025-02-01,CARREFOUR GROCERY,22100,debit
2025-02-05,ELECTRIC BILL VEOLIA,11000,debit
2025-02-08,PHARMACY MEDICINE,4500,debit
2025-02-10,SALARY DEPOSIT EMPLOYER LLC,450000,credit
2025-02-14,CINEMA TICKETS,6000,debit
2025-02-20,BOLT TRANSPORT,2100,debit
